question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1	
instruction	Please answer the following questions.	0	2
radio	What is your education level?	1	3	Some high school or less,High school graduate or equivalent (GED),Some college or associate degree,Completed college,Advanced degree	0,1,2,3	education
radio	What is your marital status?	1	3	Single (never married),Married,Separated,Widowed,Divorce	0,1,2,3,4	marital_status
radio	Are you Hispanic, Latino, or of Spanish origin?	1	3	Yes,No	0,1	ethnicity
checkbox	What is your race? (You may check more than one)	1	3	American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other (please specify)	0,1,2,3,4,5	race
radio	What was your total household income last year?	1	3	$0-25999,$26000-$51999,$52000-74999,More than $75000,Don’t know/decline to say	1,2,3,4,0	income
radio	Are you currently trying to quit or cut down on smoking?	1	3	Yes,No	0,1	quit_smoke
numeric	In your whole life, how many times have you stopped smoking for one day or longer because you were trying to quit smoking cigarettes for good?	1	3	quit_smoke_life
numeric	During the past 12 months, how many times have you stopped smoking for one day or longer because you were trying to quit smoking cigarettes for good?	1	3	quit_smoke_year
radio	Have you ever been in behavioral therapy with a clinician for smoking? Please select "no" if you have taken medication without receiving behavioral therapy.	1	3	Yes,No	0,1	smoking_therapy_ever
radio	[if yes to ever in behavioral therapy] How long ago did you last receive therapy?	1	3	Less than 6 months ago,6-12 months ago,more than one year but less than 5 years ago,5 or more years ago	0,1,2,3	smoking_therapy_last
radio	[if yes to ever in behavioral therapy] Did the therapy help you reduce your smoking?	1	3	Yes,No	0,1	smoking_therapy_help
radio	In the past month, have you taken medication for psychiatric reasons (including stimulants and mood stabilizers)?	1	3	Yes,No	0,1	medication_psych_fu
radio	In the past month, have you used nicotine replacement therapy (NRT), such as a patch, gum, lozenge, nasal spray, or inhaler?	1	3	Yes,No	0,1	nrt_fu
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	6
